StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,QID4_Browser,QID4_Version,QID4_Operating System,QID4_Resolution,Q2,Q3,ParticipantID,cwid,OkaConfirm
開始日,終了日,回答タイプ,IPアドレス,進行状況,時間（秒単位）,終了,記録日,回答ID,受信者の姓,受信者の名,受信者のメールアドレス,外部データ参照,位置の緯度,位置の経度,配信のチャンネル,ユーザーの言語,クリックして質問文を記述 - ブラウザー,クリックして質問文を記述 - バージョン,クリックして質問文を記述 - オペレーティングシステム,クリックして質問文を記述 - 解像度,確認のため、上記のパスワードを入力してください。,"あなたのクラウドワークスIDを半角英数字でお答えください。




CrowdWorksIDの確認方法

CrowdWorksのページ右上のユーザー名をクリック
「自分の公開ページを確認」をクリックし，マイページを表示
マイページのURLの下6桁?8桁の数字が、あなたのCrowdWorksIDです。

   例: https://crowdworks.jp/public/employees/1234567 → 1234567

    ※URLの「employees」の部分が「employer」になっている場合もあります。",ParticipantID,cwid,岡の確認結果
"{""ImportId"":""startDate"",""timeZone"":""Asia/Seoul""}","{""ImportId"":""endDate"",""timeZone"":""Asia/Seoul""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Asia/Seoul""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID4_BROWSER""}","{""ImportId"":""QID4_VERSION""}","{""ImportId"":""QID4_OS""}","{""ImportId"":""QID4_RESOLUTION""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""ParticipantID""}","{""ImportId"":""cwid""}",岡の確認結果
2023/1/2 22:15,2023/1/2 22:15,IP Address,131.129.122.178,100,28,TRUE,2023/1/2 22:15,R_1FaWXWl2YxFyb1a,,,,,35.4638,133.0478,anonymous,JA,Chrome,108.0.0.0,Linux x86_64,1366x768,RO80686,275026,80686,275026,OK
2023/1/2 22:17,2023/1/2 22:18,IP Address,133.32.183.121,100,71,TRUE,2023/1/2 22:18,R_3fjBBDZv4NPm2Le,,,,,34.6947,135.5,anonymous,JA,Chrome,108.0.0.0,Windows NT 10.0,1280x1024,RO60141,138525,60141,138525,OK
2023/1/2 22:19,2023/1/2 22:19,IP Address,106.73.174.65,100,44,TRUE,2023/1/2 22:19,R_2OZ1gX6jWggBAuo,,,,,35.5142,140.104,anonymous,JA,Chrome,108.0.0.0,Windows NT 10.0,1920x1200,RO58197,266202,58197,266202,OK
2023/1/2 22:19,2023/1/2 22:20,IP Address,114.157.152.165,100,59,TRUE,2023/1/2 22:20,R_1MQauZxQe4CD79N,,,,,26.256,127.6905,anonymous,JA,Chrome,108.0.0.0,Windows NT 10.0,1366x768,RO22401,4551146,22401,4551146,OK
2023/1/2 22:20,2023/1/2 22:20,IP Address,125.196.132.0,100,48,TRUE,2023/1/2 22:20,R_4V3mkO0c9cYM8i5,,,,,34.6922,135.1816,anonymous,JA,Chrome,108.0.0.0,Windows NT 10.0,1280x720,RO77658,297683,77658,297683,OK
2023/1/2 22:21,2023/1/2 22:21,IP Address,220.111.185.68,100,16,TRUE,2023/1/2 22:21,R_phDDHsFbkqyRKFz,,,,,31.5703,130.5315,anonymous,JA,Chrome,108.0.0.0,Windows NT 10.0,1920x1080,RO51186,276409,51186,276409,OK
2023/1/2 22:21,2023/1/2 22:22,IP Address,219.175.250.8,100,52,TRUE,2023/1/2 22:22,R_3lDKq2EdBhlnhHM,,,,,35.5168,139.7253,anonymous,JA,Chrome,108.0.0.0,Windows NT 6.1,1366x768,RO36986,707767,36986,707767,OK
2023/1/2 22:22,2023/1/2 22:23,IP Address,133.32.179.94,100,36,TRUE,2023/1/2 22:23,R_3jSXdsgawiyWUTv,,,,,34.6947,135.5,anonymous,JA,Chrome,108.0.0.0,Windows NT 10.0,1920x1080,RO89103,4660661,89103,4660661,OK
2023/1/2 22:22,2023/1/2 22:23,IP Address,58.5.198.76,100,54,TRUE,2023/1/2 22:23,R_1QE1weIBpeavHNC,,,,,35.6887,139.745,anonymous,JA,Chrome,108.0.0.0,Windows NT 10.0,1280x720,RO15689,4632782,15689,4632782,OK
2023/1/2 22:23,2023/1/2 22:23,IP Address,138.64.166.171,100,42,TRUE,2023/1/2 22:23,R_aadaOBb6KdSiQNz,,,,,34.6986,135.5079,anonymous,JA,Edge,108.0.1462.54,Windows NT 10.0,1147x860,RO90196,2942272,90196,2942272,OK
2023/1/2 22:23,2023/1/2 22:24,IP Address,117.108.14.143,100,23,TRUE,2023/1/2 22:24,R_bf5v40HgjEybH9v,,,,,34.6879,135.8144,anonymous,JA,Chrome,108.0.0.0,Windows NT 10.0,1920x1080,RO56373,3043448,56373,3043448,OK
2023/1/2 22:23,2023/1/2 22:24,IP Address,121.81.223.71,100,63,TRUE,2023/1/2 22:24,R_2YqYDxXFMmznOQr,,,,,34.6946,135.5021,anonymous,JA,Chrome,108.0.0.0,Windows NT 10.0,1920x1080,RO54619,2400065,54619,2400065,OK
2023/1/2 22:24,2023/1/2 22:25,IP Address,217.178.152.133,100,52,TRUE,2023/1/2 22:25,R_1ia5lAjhQq15dmA,,,,,35.6918,139.7002,anonymous,JA,Firefox,108,Windows NT 10.0,3072x1728,RO66634,1265342,66634,1265342,OK
2023/1/2 22:25,2023/1/2 22:26,IP Address,106.174.111.170,100,42,TRUE,2023/1/2 22:26,R_u3Y3JxVFmjR7BOp,,,,,35.6056,140.1237,anonymous,JA,Chrome,108.0.0.0,Windows NT 10.0,1366x768,RO15654,2613017,15654,2613017,OK
2023/1/2 22:25,2023/1/2 22:26,IP Address,202.12.244.27,100,31,TRUE,2023/1/2 22:26,R_3gYg7MwYyFPz2Rr,,,,,35.6893,139.6899,anonymous,JA,Chrome,108.0.0.0,Macintosh,1440x900,RO68270,3053783,68270,3053783,OK
2023/1/2 22:24,2023/1/2 22:26,IP Address,113.197.203.237,100,103,TRUE,2023/1/2 22:26,R_22tZ02BxkcV8otm,,,,,34.6838,135.5228,anonymous,JA,Chrome,108.0.0.0,Windows NT 10.0,1366x768,RO90702,3985308,90702,3985308,OK
2023/1/2 22:26,2023/1/2 22:26,IP Address,124.32.164.73,100,33,TRUE,2023/1/2 22:26,R_3pffvrDYo7xven4,,,,,35.6918,139.7002,anonymous,JA,Chrome,108.0.0.0,Windows NT 10.0,1920x1080,RO54687,2227987,54687,2227987,OK
2023/1/2 22:25,2023/1/2 22:26,IP Address,123.225.205.5,100,59,TRUE,2023/1/2 22:26,R_3CoVSGQ7HgEsJsB,,,,,35.8292,139.6789,anonymous,JA,Edge,108.0.1462.54,Windows NT 10.0,2560x1440,RO55535,1791041,55535,1791041,OK
