success,trial_type,trial_index,time_elapsed,internal_node_id,cwid,StartTime,EndTime,rt,response,task,question_order,stim,answer,stimulus,Correct
1.0,fullscreen,0,10111,0.0-0.0,963459,44965.5055439815,44965.5136921296,,,,,,,,0
,survey-html-form,1,16571,0.0-1.0,963459,44965.5055439815,44965.5136921296,6458.0,Array,rpms_instruction,,,,,0
,survey-html-form,2,29953,0.0-2.0,963459,44965.5055439815,44965.5136921296,13381.0,Array,rpms_instruction,,,,,0
,survey-html-form,3,37777,0.0-3.0,963459,44965.5055439815,44965.5136921296,7823.0,Array,rpms_instruction,,,,,0
,survey-likert,4,135997,0.0-4.0-0.0,963459,44965.5055439815,44965.5136921296,98218.0,Array,rpms_task,Array,RPMShort_images/G0T1E01RPM01.png,5.0,,1
,survey-likert,5,164128,0.0-4.0-1.0,963459,44965.5055439815,44965.5136921296,28128.0,Array,rpms_task,Array,RPMShort_images/G0T1E02RPM04.png,5.0,,0
,survey-likert,6,219832,0.0-4.0-2.0,963459,44965.5055439815,44965.5136921296,55700.0,Array,rpms_task,Array,RPMShort_images/G0T1E03RPM08.png,1.0,,1
,survey-likert,7,233113,0.0-4.0-3.0,963459,44965.5055439815,44965.5136921296,13278.0,Array,rpms_task,Array,RPMShort_images/G0T1E04RPM11.png,5.0,,1
,survey-likert,8,267453,0.0-4.0-4.0,963459,44965.5055439815,44965.5136921296,34337.0,Array,rpms_task,Array,RPMShort_images/G0T1E05RPM15.png,2.0,,1
,survey-likert,9,308979,0.0-4.0-5.0,963459,44965.5055439815,44965.5136921296,41523.0,Array,rpms_task,Array,RPMShort_images/G0T1E06RPM18.png,7.0,,1
,survey-likert,10,356589,0.0-4.0-6.0,963459,44965.5055439815,44965.5136921296,47606.0,Array,rpms_task,Array,RPMShort_images/G0T1E07RPM21.png,8.0,,1
,survey-likert,11,383480,0.0-4.0-7.0,963459,44965.5055439815,44965.5136921296,26889.0,Array,rpms_task,Array,RPMShort_images/G0T1E08RPM23.png,6.0,,1
,survey-likert,12,418404,0.0-4.0-8.0,963459,44965.5055439815,44965.5136921296,34921.0,Array,rpms_task,Array,RPMShort_images/G0T1E09RPM25.png,7.0,,1
,survey-likert,13,499858,0.0-4.0-9.0,963459,44965.5055439815,44965.5136921296,81450.0,Array,rpms_task,Array,RPMShort_images/G0T1E10RPM30.png,5.0,,1
,survey-likert,14,682417,0.0-4.0-10.0,963459,44965.5055439815,44965.5136921296,182555.0,Array,rpms_task,Array,RPMShort_images/G0T1E11RPM31.png,8.0,,0
,survey-likert,15,699928,0.0-4.0-11.0,963459,44965.5055439815,44965.5136921296,17508.0,Array,rpms_task,Array,RPMShort_images/G0T1E12RPM35.png,3.0,,1
,html-keyboard-response,16,703614,0.0-5.0,963459,44965.5055439815,44965.5136921296,3682.0, ,rpms_debrief,,,,<p style='text-algin:left'>これで実験は終了です。お疲れ様でした。</p><p style='text-algin:left'>スペースキーを押したのち、画面を閉じてください。</p>,0
1.0,fullscreen,0,3748,0.0-0.0,4409144,44965.5106134259,44965.5134722222,,,,,,,,0
,survey-html-form,1,12957,0.0-1.0,4409144,44965.5106134259,44965.5134722222,9203.0,Array,rpms_instruction,,,,,0
,survey-html-form,2,22272,0.0-2.0,4409144,44965.5106134259,44965.5134722222,9312.0,Array,rpms_instruction,,,,,0
,survey-html-form,3,27552,0.0-3.0,4409144,44965.5106134259,44965.5134722222,5279.0,Array,rpms_instruction,,,,,0
,survey-likert,4,54010,0.0-4.0-0.0,4409144,44965.5106134259,44965.5134722222,26455.0,Array,rpms_task,Array,RPMShort_images/G0T1E01RPM01.png,8.0,,0
,survey-likert,5,71080,0.0-4.0-1.0,4409144,44965.5106134259,44965.5134722222,17064.0,Array,rpms_task,Array,RPMShort_images/G0T1E02RPM04.png,5.0,,0
,survey-likert,6,86187,0.0-4.0-2.0,4409144,44965.5106134259,44965.5134722222,15102.0,Array,rpms_task,Array,RPMShort_images/G0T1E03RPM08.png,8.0,,0
,survey-likert,7,111645,0.0-4.0-3.0,4409144,44965.5106134259,44965.5134722222,25453.0,Array,rpms_task,Array,RPMShort_images/G0T1E04RPM11.png,5.0,,1
,survey-likert,8,136307,0.0-4.0-4.0,4409144,44965.5106134259,44965.5134722222,24652.0,Array,rpms_task,Array,RPMShort_images/G0T1E05RPM15.png,7.0,,0
,survey-likert,9,158999,0.0-4.0-5.0,4409144,44965.5106134259,44965.5134722222,22686.0,Array,rpms_task,Array,RPMShort_images/G0T1E06RPM18.png,1.0,,0
,survey-likert,10,174617,0.0-4.0-6.0,4409144,44965.5106134259,44965.5134722222,15613.0,Array,rpms_task,Array,RPMShort_images/G0T1E07RPM21.png,8.0,,1
,survey-likert,11,189476,0.0-4.0-7.0,4409144,44965.5106134259,44965.5134722222,14854.0,Array,rpms_task,Array,RPMShort_images/G0T1E08RPM23.png,6.0,,1
,survey-likert,12,203144,0.0-4.0-8.0,4409144,44965.5106134259,44965.5134722222,13675.0,Array,rpms_task,Array,RPMShort_images/G0T1E09RPM25.png,7.0,,1
,survey-likert,13,215816,0.0-4.0-9.0,4409144,44965.5106134259,44965.5134722222,12664.0,Array,rpms_task,Array,RPMShort_images/G0T1E10RPM30.png,2.0,,0
,survey-likert,14,229105,0.0-4.0-10.0,4409144,44965.5106134259,44965.5134722222,13282.0,Array,rpms_task,Array,RPMShort_images/G0T1E11RPM31.png,7.0,,0
,survey-likert,15,242104,0.0-4.0-11.0,4409144,44965.5106134259,44965.5134722222,12993.0,Array,rpms_task,Array,RPMShort_images/G0T1E12RPM35.png,4.0,,0
,html-keyboard-response,16,247139,0.0-5.0,4409144,44965.5106134259,44965.5134722222,5029.0, ,rpms_debrief,,,,<p style='text-algin:left'>これで実験は終了です。お疲れ様でした。</p><p style='text-algin:left'>スペースキーを押したのち、画面を閉じてください。</p>,0
1.0,fullscreen,0,16100,0.0-0.0,2141268,44965.5068518519,44965.5167476852,,,,,,,,0
,survey-html-form,1,37846,0.0-1.0,2141268,44965.5068518519,44965.5167476852,21743.0,Array,rpms_instruction,,,,,0
,survey-html-form,2,45246,0.0-2.0,2141268,44965.5068518519,44965.5167476852,7399.0,Array,rpms_instruction,,,,,0
,survey-html-form,3,50109,0.0-3.0,2141268,44965.5068518519,44965.5167476852,4863.0,Array,rpms_instruction,,,,,0
,survey-likert,4,106046,0.0-4.0-0.0,2141268,44965.5068518519,44965.5167476852,55935.0,Array,rpms_task,Array,RPMShort_images/G0T1E01RPM01.png,5.0,,1
