"CrowdworksID","Sex","Age","AcademicDegree","SumSSTFinalRating","SumRPSMCorrect","Vocab_Check_All","Vocab_Check_P1","Vocab_Check_P2","Vocab_Check_P3","Extraversion_Agg","Agreeableness_Agg","Conscientious_Agg","Neuroticism_Agg","Openess_Agg","SumWAISVocabScore","Extraversion","Conscientiousness","Neuroticism","Openness","Agreeableness"
"963459",1,37,2,30,10,89614,97673,89314,84155,2,5,3,3.5,2.5,23,2.2,3.57142857142857,2.8,3,4
"2141268",1,47,4,28,9,87196,84843,89314,87532,3,5,2,6.5,3,34,3.6,3.28571428571429,6,2.83333333333333,4.33333333333333
"4409144",2,35,3,30,4,46183,52104,46458,40918,4,3,2,6,2.5,29,1.8,2.28571428571429,6.2,1.5,1.83333333333333
"3327831",1,35,4,32,11,82686,81625,82541,83781,2.5,4.5,4,4.5,4.5,34,3,4,4.6,4,4.33333333333333
"2286689",1,45,4,20,2,57166,61346,50165,58201,6,6.5,6,2,6.5,27,5.2,5.71428571428571,3,5,5.5
"3366361",1,55,4,30,9,71081,76119,67528,70222,4.5,5.5,6,2,4,21,4.4,5.28571428571429,2.4,3.5,5.16666666666667
"2933739",2,55,4,32,8,79580,85010,75884,78296,3,6.5,5.5,3.5,2,29,3.2,6.28571428571429,4.4,2.66666666666667,6.5
"62735",1,39,3,31,6,95772,91421,85915,108688,3,5,4.5,3.5,3.5,35,3.2,3.85714285714286,4.6,3.83333333333333,4.66666666666667
"4087419",1,36,2,28,6,90491,94837,89314,87290,3,4,5,4.5,3,23,2.4,6,5.8,3.33333333333333,3.66666666666667
"4523774",2,44,2,31,5,59935,56094,60691,55127,3.5,2.5,2,6.5,5,25,3.4,3.28571428571429,7,3.33333333333333,2
"4516926",2,43,2,24,5,36270,35259,31021,44988,1,5.5,5.5,5.5,1.5,19,1.2,6.14285714285714,6.4,2.5,4.83333333333333
"148287",2,44,4,27,5,38086,34507,42277,0,2,6.5,6.5,4.5,1.5,25,3.8,7,5.2,2.16666666666667,5.83333333333333
"4639437",2,29,4,21,4,45913,44392,33827,54081,2.5,5,4.5,6,2,20,3.6,5.14285714285714,5.4,3.16666666666667,4
"769122",2,43,2,29,8,98526,94902,98843,101727,2.5,4.5,3,5.5,2,28,2.6,4.14285714285714,6.4,2,4.5
"494309",1,34,4,33,6,81904,85661,79343,81385,2,6.5,3,3,3,27,2.4,3.85714285714286,3.6,3.16666666666667,5.5
"1034994",1,46,3,20,0,72288,78161,63664,76693,2.5,5,5,2.5,1.5,21,2.8,5.71428571428571,5.2,3.33333333333333,3.33333333333333
"244690",2,49,2,26,8,73714,75302,76693,69240,3.5,4,4.5,3,4,35,3.6,4.85714285714286,4,4,4
"1526455",1,30,4,29,9,65157,63895,65045,66663,3,5.5,2,4,3,30,3.2,3.14285714285714,5,3,4.83333333333333
"1773443",1,48,4,30,1,69886,78314,64129,0,2.5,5,3,5.5,2,19,2.4,4.57142857142857,6.4,2.83333333333333,4.83333333333333
"669855",1,50,5,36,7,87586,91421,83133,87985,3.5,4,5,4,5,30,3.8,4.42857142857143,3.8,4.16666666666667,4
"2577141",2,43,4,29,4,85392,85146,80969,90549,2,6,4,4.5,3,29,3.2,5,5.4,4,5.66666666666667
"1304218",2,44,2,23,5,72758,75392,67906,0,3.5,5,3.5,3.5,2.5,24,3.4,3.57142857142857,5.2,3.16666666666667,4.5
"96294",1,34,3,30,9,80637,82155,76693,83875,2,6,2.5,6,3.5,34,4,4.14285714285714,5.6,3.66666666666667,5.83333333333333
"1210600",1,55,4,30,8,61662,56463,61373,0,2,1,1,7,2.5,27,2.8,1.71428571428571,6.6,2.5,1
"2677151",1,42,4,26,6,63535,53826,65768,72967,2.5,6.5,5,2.5,3.5,26,2.8,5.14285714285714,3.6,2.83333333333333,6.33333333333333
"1228585",2,52,3,29,7,93524,85932,95687,99294,5.5,6,5.5,4,5,30,5.4,5.57142857142857,5,4.5,5.66666666666667
"198468",2,44,4,29,8,70952,74870,69639,68173,4,4,4,5.5,5,30,5.4,3.14285714285714,5.6,5.5,3.5
"3270660",1,24,2,26,2,62754,50647,59149,62709,6,5.5,4,2,5,25,6.2,6.14285714285714,3.8,5.66666666666667,6.5
"59422",2,48,4,32,11,71081,88830,64454,64686,2.5,6,4,2,6.5,28,3,3.85714285714286,2.6,5,6.33333333333333
"178919",1,58,4,26,2,58272,69240,54225,54081,3,4.5,4,5,3.5,26,2.8,4.57142857142857,5.2,4,4
"329254",1,50,4,27,4,62754,67528,62754,61925,3,4,3,5,4,24,3.8,4.28571428571429,3.8,3.66666666666667,4
"279820",2,40,4,30,7,91421,88930,89314,96574,3.5,2,2.5,6,2.5,33,2.4,2.85714285714286,6.6,3.33333333333333,2.66666666666667
