success,trial_type,trial_index,time_elapsed,internal_node_id,ID,StartTime,EndTime,rt,stimulus,response,task,question_order,stim,answer,Score
1,fullscreen,0,2711,0.0-0.0,1039845,2023/10/18 13:59,2023/10/18 14:02,,,,,,,,0
,html-keyboard-response,1,10450,0.0-1.0,1039845,2023/10/18 13:59,2023/10/18 14:02,7735,<p style='text-algin:left'>これから、20個の単語についてその意味をおききします。</p><p style='text-algin:left'>語の意味を表すものとして、<u>最も適切なもの</u>をひとつ選択してください。</p><p><br><br></br><p style='text-algin:left'>準備ができたらスペーキーを押して、課題をはじめてください。</p>, ,vocab_instruction,,,,0
,survey-multi-choice,2,17846,0.0-2.0-0.0,1039845,2023/10/18 13:59,2023/10/18 14:02,7395,,Array,vocab_task,Array,,,0
,survey-multi-choice,3,21510,0.0-2.0-1.0,1039845,2023/10/18 13:59,2023/10/18 14:02,3661,,Array,vocab_task,Array,,,2
,survey-multi-choice,4,23958,0.0-2.0-2.0,1039845,2023/10/18 13:59,2023/10/18 14:02,2445,,Array,vocab_task,Array,,,2
,survey-multi-choice,5,30990,0.0-2.0-3.0,1039845,2023/10/18 13:59,2023/10/18 14:02,7029,,Array,vocab_task,Array,,,2
,survey-multi-choice,6,36742,0.0-2.0-4.0,1039845,2023/10/18 13:59,2023/10/18 14:02,5748,,Array,vocab_task,Array,,,2
,survey-multi-choice,7,40190,0.0-2.0-5.0,1039845,2023/10/18 13:59,2023/10/18 14:02,3445,,Array,vocab_task,Array,,,2
,survey-multi-choice,8,51638,0.0-2.0-6.0,1039845,2023/10/18 13:59,2023/10/18 14:02,11445,,Array,vocab_task,Array,,,1
,survey-multi-choice,9,54846,0.0-2.0-7.0,1039845,2023/10/18 13:59,2023/10/18 14:02,3205,,Array,vocab_task,Array,,,0
,survey-multi-choice,10,63134,0.0-2.0-8.0,1039845,2023/10/18 13:59,2023/10/18 14:02,8285,,Array,vocab_task,Array,,,0
,survey-multi-choice,11,70022,0.0-2.0-9.0,1039845,2023/10/18 13:59,2023/10/18 14:02,6885,,Array,vocab_task,Array,,,2
,survey-multi-choice,12,75022,0.0-2.0-10.0,1039845,2023/10/18 13:59,2023/10/18 14:02,4997,,Array,vocab_task,Array,,,1
,survey-multi-choice,13,77198,0.0-2.0-11.0,1039845,2023/10/18 13:59,2023/10/18 14:02,2173,,Array,vocab_task,Array,,,0
,survey-multi-choice,14,82606,0.0-2.0-12.0,1039845,2023/10/18 13:59,2023/10/18 14:02,5405,,Array,vocab_task,Array,,,2
,survey-multi-choice,15,93990,0.0-2.0-13.0,1039845,2023/10/18 13:59,2023/10/18 14:02,11381,,Array,vocab_task,Array,,,1
,survey-multi-choice,16,98526,0.0-2.0-14.0,1039845,2023/10/18 13:59,2023/10/18 14:02,4533,,Array,vocab_task,Array,,,2
,survey-multi-choice,17,116462,0.0-2.0-15.0,1039845,2023/10/18 13:59,2023/10/18 14:02,17933,,Array,vocab_task,Array,,,0
,survey-multi-choice,18,120726,0.0-2.0-16.0,1039845,2023/10/18 13:59,2023/10/18 14:02,4262,,Array,vocab_task,Array,,,1
,survey-multi-choice,19,127070,0.0-2.0-17.0,1039845,2023/10/18 13:59,2023/10/18 14:02,6341,,Array,vocab_task,Array,,,0
,survey-multi-choice,20,130934,0.0-2.0-18.0,1039845,2023/10/18 13:59,2023/10/18 14:02,3861,,Array,vocab_task,Array,,,2
,survey-multi-choice,21,135950,0.0-2.0-19.0,1039845,2023/10/18 13:59,2023/10/18 14:02,5013,,Array,vocab_task,Array,,,0
,html-keyboard-response,22,137588,0.0-3.0,1039845,2023/10/18 13:59,2023/10/18 14:02,1634,<p style='text-algin:left'>これで実験は終了です。お疲れ様でした。</p><p style='text-algin:left'>スペースキーを押したのち、画面を閉じてください。</p>, ,vocab_debrief,,,,0
